date_str,price_usd_per_lb,date,price_usd_per_kg,year,month,month_name,year_month,quarter,price_yoy_pct,price_yoy_absolute,price_index_2017
2017-01-01,0.7,2017-01-01,1.5432339999999998,2017,1,January,2017-01,1,,,97.053726169844
2017-02-01,0.695,2017-02-01,1.5322108999999997,2017,2,February,2017-02,1,,,96.36048526863082
2017-03-01,0.692,2017-03-01,1.5255970399999998,2017,3,March,2017-03,1,,,95.94454072790293
2017-04-01,0.686,2017-04-01,1.51236932,2017,4,April,2017-04,2,,,95.11265164644713
2017-05-01,0.726,2017-05-01,1.6005541199999997,2017,5,May,2017-05,2,,,100.6585788561525
2017-06-01,0.752,2017-06-01,1.65787424,2017,6,June,2017-06,2,,,104.263431542461
2017-07-01,0.764,2017-07-01,1.6843296799999998,2017,7,July,2017-07,3,,,105.92720970537259
2017-08-01,0.753,2017-08-01,1.6600788599999998,2017,8,August,2017-08,3,,,104.40207972270363
2017-09-01,0.741,2017-09-01,1.63362342,2017,9,September,2017-09,3,,,102.73830155979202
2017-10-01,0.723,2017-10-01,1.5939402599999999,2017,10,October,2017-10,4,,,100.2426343154246
2017-11-01,0.712,2017-11-01,1.5696894399999999,2017,11,November,2017-11,4,,,98.71750433275562
2017-12-01,0.711,2017-12-01,1.5674848199999998,2017,12,December,2017-12,4,,,98.57885615251298
2018-01-01,0.682,2018-01-01,1.50355084,2018,1,January,2018-01,1,-2.571428571428558,-0.03968315999999983,94.5580589254766
2018-02-01,0.691,2018-02-01,1.5233924199999997,2018,2,February,2018-02,1,-0.5755395683453179,-0.008818479999999962,95.80589254766029
2018-03-01,0.682,2018-03-01,1.50355084,2018,3,March,2018-03,1,-1.445086705202303,-0.022046199999999905,94.5580589254766
2018-04-01,0.685,2018-04-01,1.5101647,2018,4,April,2018-04,2,-0.1457725947521804,-0.0022046199999998795,94.97400346620451
2018-05-01,0.698,2018-05-01,1.5388247599999998,2018,5,May,2018-05,2,-3.8567493112947604,-0.061729359999999955,96.77642980935873
2018-06-01,0.689,2018-06-01,1.5189831799999998,2018,6,June,2018-06,2,-8.3776595744681,-0.13889106000000018,95.52859618717503
2018-07-01,0.69,2018-07-01,1.5211877999999996,2018,7,July,2018-07,3,-9.685863874345557,-0.16314188000000018,95.66724436741765
2018-08-01,0.705,2018-08-01,1.5542570999999998,2018,8,August,2018-08,3,-6.3745019920318775,-0.10582175999999999,97.74696707105718
2018-09-01,0.693,2018-09-01,1.5278016599999997,2018,9,September,2018-09,3,-6.477732793522284,-0.10582176000000021,96.08318890814556
2018-10-01,0.685,2018-10-01,1.5101647,2018,10,October,2018-10,4,-5.25587828492392,-0.08377555999999986,94.97400346620451
2018-11-01,0.711,2018-11-01,1.5674848199999998,2018,11,November,2018-11,4,-0.1404494382022503,-0.0022046200000001015,98.57885615251298
2018-12-01,0.712,2018-12-01,1.5696894399999999,2018,12,December,2018-12,4,0.14064697609001975,0.0022046200000001015,98.71750433275562
2019-01-01,0.73,2019-01-01,1.6093725999999997,2019,1,January,2019-01,1,7.038123167155419,0.10582175999999976,101.21317157712303
2019-02-01,0.762,2019-02-01,1.6799204399999998,2019,2,February,2019-02,1,10.274963820549932,0.1565280200000001,105.64991334488734
2019-03-01,0.757,2019-03-01,1.6688973399999998,2019,3,March,2019-03,1,10.997067448680342,0.16534649999999984,104.95667244367417
2019-04-01,0.767,2019-04-01,1.69094354,2019,4,April,2019-04,2,11.970802919708024,0.18077883999999989,106.3431542461005
2019-05-01,0.761,2019-05-01,1.67771582,2019,5,May,2019-05,2,9.025787965616061,0.13889106000000018,105.51126516464471
2019-06-01,0.801,2019-06-01,1.76590062,2019,6,June,2019-06,2,16.255442670537022,0.24691744000000027,111.05719237435008
2019-07-01,0.798,2019-07-01,1.75928676,2019,7,July,2019-07,3,15.652173913043498,0.2380989600000003,110.64124783362217
2019-08-01,0.793,2019-08-01,1.7482636599999999,2019,8,August,2019-08,3,12.482269503546096,0.19400656000000005,109.948006932409
2019-09-01,0.797,2019-09-01,1.7570821399999998,2019,9,September,2019-09,3,15.007215007215024,0.22928048000000012,110.50259965337955
2019-10-01,0.773,2019-10-01,1.7041712599999999,2019,10,October,2019-10,4,12.846715328467152,0.19400655999999983,107.17504332755632
2019-11-01,0.721,2019-11-01,1.58953102,2019,11,November,2019-11,4,1.406469760900153,0.022046200000000127,99.96533795493934
2019-12-01,0.714,2019-12-01,1.5740986799999999,2019,12,December,2019-12,4,0.2808988764045006,0.004409239999999981,98.99480069324089
2020-01-01,0.716,2020-01-01,1.5785079199999998,2020,1,January,2020-01,1,-1.9178082191780743,-0.030864679999999867,99.27209705372616
2020-02-01,0.734,2020-02-01,1.61819108,2020,2,February,2020-02,1,-3.6745406824146953,-0.061729359999999955,101.76776429809358
2020-03-01,0.733,2020-03-01,1.6159864599999998,2020,3,March,2020-03,1,-3.1704095112285335,-0.052910879999999993,101.62911611785094
2020-04-01,,2020-04-01,,2020,4,April,2020-04,2,-4.4328552803129195,,
2020-05-01,0.748,2020-05-01,1.6490557599999998,2020,5,May,2020-05,2,-1.708278580814726,-0.02866006000000021,103.70883882149045
2020-06-01,0.749,2020-06-01,1.6512603799999999,2020,6,June,2020-06,2,-6.491885143570542,-0.11464024000000017,103.8474870017331
2020-07-01,0.772,2020-07-01,1.70196664,2020,7,July,2020-07,3,-3.2581453634085156,-0.057320119999999974,107.03639514731368
2020-08-01,0.769,2020-08-01,1.69535278,2020,8,August,2020-08,3,-3.0264817150063017,-0.052910879999999993,106.62045060658578
2020-09-01,0.777,2020-09-01,1.7129897399999998,2020,9,September,2020-09,3,-2.509410288582181,-0.04409240000000003,107.72963604852686
2020-10-01,0.766,2020-10-01,1.6887389199999998,2020,10,October,2020-10,4,-0.9055627425614499,-0.015432340000000044,106.20450606585787
2020-11-01,0.791,2020-11-01,1.74385442,2020,11,November,2020-11,4,9.708737864077666,0.1543234,109.67071057192372
2020-12-01,0.789,2020-12-01,1.73944518,2020,12,December,2020-12,4,10.504201680672276,0.16534650000000006,109.39341421143847
2021-01-01,0.794,2021-01-01,1.75046828,2021,1,January,2021-01,1,10.89385474860336,0.17196036000000015,110.08665511265163
