State,Total Jobs,Jobs with Salary,Avg Min Salary,Avg Max Salary,Remote Jobs
California,200,189,"$135,939","$223,115",18
New York,300,261,"$136,292","$198,727",68
Texas,300,188,"$120,203","$187,348",61
TOTAL,800,638,"$131,446","$202,598",147
