State,Total Jobs,Jobs with Salary,Avg Min Salary,Avg Max Salary,Remote Jobs
California,500,388,"$132,231","$220,491",83
New York,500,426,"$133,962","$194,215",118
Texas,500,306,"$122,108","$192,511",110
TOTAL,1500,1120,"$130,124","$202,852",311
