State,Total Jobs,Jobs with Salary,Avg Min Salary,Avg Max Salary,Remote Jobs
California,500,419,"$90,376","$132,188",135
New York,500,423,"$88,381","$121,645",115
Texas,500,209,"$84,414","$119,450",109
TOTAL,1500,1051,"$88,387","$125,412",359
